,800,825,850,875,900,925,950
850,"321.80","328.51","335.22","341.93","348.64","355.35","362.06"
1100,"374.52","382.10","389.70","397.29","404.89","412.48","420.07"
1350,"427.23","435.71","444.18","452.66","461.13","469.60","478.08"
1600,"479.95","489.31","498.66","508.02","517.37","526.73","536.09"
1850,"532.67","542.90","553.15","563.38","573.62","583.86","594.09"
2100,"585.39","596.51","607.62","618.75","629.87","640.98","652.10"
2350,"638.10","650.11","662.11","674.11","686.11","698.11","710.11"
2600,"690.82","703.70","716.59","729.47","742.35","755.23","768.12"
2850,"743.54","757.31","771.07","784.84","798.59","812.36","826.12"
3100,"796.26","810.90","825.55","840.20","854.85","869.48","884.13"